status_label,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18
alive,0.66,0.431,0.105,-1.076,0.03,-1.498,0.057,11.2651,0.39,31.663,3.194,-1.181,-0.041,3.169,-11.579,0.39,6.655,1.466
alive,591.452,39.663,63.405,121.551,6.562,-198.756,3.043,1125.4419,290.444,2915.325,2474.711,58.146,250.781,584.96,-1260.463,290.444,3088.317,168.893
failed,423.277,372.974,61.126,149.16,8.269,-103.1,65.158,35.7472,569.428,1214.302,0.0,88.034,196.454,2141.037,-1867.608,569.428,2352.173,420.268
failed,5570.282,5510.652,731.808,2750.214,2088.342,1353.903,2442.848,7447.644,9600.564,16476.513,4564.255,2018.406,4089.912,3022.093,4257.324,9600.564,8110.464,6850.35
alive,99.408,306.229,39.918,-7.519,45.431,-149.943,47.808,3.2311,332.998,286.611,301.524,-47.437,26.769,101.522,-168.843,332.998,449.097,340.517
alive,84.052,36.504,6.673,5.866,1.286,1.686,9.094,173.6377,79.851,186.522,0.0,-0.807,43.347,29.232,-135.412,79.851,35.158,73.985
alive,20.905,19.846,0.338,-19.83,0.0,-21.075,0.063,39.2129,0.016,22.604,0.0,-20.168,-19.83,7.333,-193.029,0.016,11.273,19.846
failed,731.549,521.93,116.184,504.602,44.902,356.646,286.808,3296.0623,1125.26,2649.298,319.712,388.418,603.33,146.68,1719.961,1125.26,762.165,620.658
alive,760.819,1398.695,438.716,179.874,106.588,-205.921,399.015,1475.9227,1874.076,3110.225,1279.771,-258.842,475.381,375.197,-1580.885,1874.076,1977.796,1694.202
failed,11.407,0.779,1.005,-8.447,0.0,-10.795,7.198,194.4537,36.139,30.122,0.045,-9.452,35.36,13.392,-362.953,36.139,18.581,44.586
failed,2.409,1.162,2.152,-1.348,0.0,-5.128,0.166,246.5941,2.302,29.491,22.971,-3.5,1.14,0.662,-24.451,2.302,23.633,3.65
alive,32.925,388.536,20.375,67.327,2.564,9.257,10.508,1362.5759,551.337,318.785,73.981,46.952,162.801,38.087,9.28,551.337,160.479,484.01
alive,400.295,475.155,38.252,82.657,160.82,-21.216,190.686,112.515,748.751,707.935,260.147,44.405,273.596,123.314,171.071,748.751,383.461,666.094
alive,19.299,22.211,3.092,-5.027,8.196,-8.786,8.154,163.9181,42.058,42.294,0.0,-8.119,19.847,8.17,-46.272,42.058,11.277,47.085
alive,12.893,5.092,1.374,-3.348,0.171,-3.941,3.505,30.1933,17.167,17.527,0.0,-4.722,12.075,6.583,-39.543,17.167,7.235,20.515
failed,0.114,0.214,0.097,-4.827,0.002,-5.588,0.0,15.2789,0.416,1.692,0.05,-4.924,0.202,8.525,-25.4,0.416,8.58,5.243
alive,2048.2,2217.6,124.8,1031.1,614.7,534.6,555.4,12673.3485,6228.3,3327.5,767.0,906.3,4010.7,1975.5,943.9,6228.3,3418.2,5197.2
failed,25.093,46.828,1.817,6.157,12.931,2.453,10.736,13.852,65.28,40.194,1.1,4.34,18.452,17.439,2.785,65.28,19.092,59.123
alive,8.173,5.538,0.514,1.45,0.0,0.557,3.306,27.891,12.751,11.993,2.0,0.936,7.213,4.281,-29.381,12.751,6.281,11.301
alive,771.619,1437.252,159.712,376.279,5.873,-267.976,238.953,700.2632,2498.599,2315.293,1273.164,216.567,1061.347,486.098,-1217.577,2498.599,2065.194,2122.32
failed,3.738,0.123,0.374,-0.746,0.0,-6.784,0.04,6.3998,2.768,8.839,0.0,-1.12,2.645,1.497,-9.275,2.768,1.497,3.514
alive,2112.0,4009.0,272.0,1415.0,728.0,766.0,494.0,14745.36,7343.0,7870.0,2116.0,1143.0,3334.0,2962.0,6543.0,7343.0,6102.0,5928.0
alive,17.931,25.311,1.759,1.841,8.152,-0.224,7.772,10.8969,31.523,30.195,7.18,0.082,6.212,5.976,5.187,31.523,15.537,29.682
alive,19.69,48.501,2.197,7.127,4.428,2.507,13.579,16.8989,67.988,42.508,13.915,4.93,19.487,10.567,11.414,67.988,26.061,60.861
alive,3953.3,1191.5,212.8,1025.4,469.7,591.0,309.5,13345.146,4488.3,5831.6,1579.5,812.6,3296.8,753.8,20.8,4488.3,2829.7,3462.9
alive,2557.0,4029.0,67.0,435.0,692.0,228.0,913.0,2235.534,5315.0,4255.0,7.0,368.0,1286.0,1693.0,190.0,5315.0,3790.0,4880.0
alive,299.733,111.888,11.527,-17.054,40.293,-40.161,84.464,1457.98,342.788,482.975,261.838,-28.581,230.9,94.621,-469.785,342.788,376.101,359.842
alive,4.512,20.688,0.461,-20.188,0.0,-22.054,0.004,9.4884,0.5,30.849,0.0,-20.649,-20.188,8.423,-241.38,0.5,24.124,20.688
failed,34.648,91.54,1.683,-19.6,5.923,-56.908,24.308,19.0629,87.323,47.22,10.209,-21.283,-4.217,22.502,-123.848,87.323,34.148,106.923
failed,220.404,163.983,6.379,33.737,114.128,16.483,97.78,127.0939,339.185,275.296,28.184,27.358,175.202,53.014,74.417,339.185,83.392,305.448
failed,26.524,49.973,1.198,-10.85,16.034,-6.921,7.286,36.5586,64.04,31.374,1.454,-12.048,14.067,22.355,-42.901,64.04,24.781,74.89
alive,128.731,182.176,16.3,34.305,53.877,27.345,13.346,193.343,377.694,213.334,0.0,18.005,195.518,99.861,33.247,377.694,113.92,343.389
failed,32.805,34.757,36.997,15.795,0.0,-59.131,15.027,8.9402,64.873,372.587,316.263,-21.202,30.116,38.578,-282.741,64.873,372.892,49.078
failed,89.378,170.084,15.519,11.497,70.872,-14.327,8.275,42.9627,383.75,146.174,21.784,-4.022,213.666,77.682,-80.668,383.75,119.023,372.253
alive,9657.2,8780.6,401.1,3507.7,4424.5,1952.0,3135.9,10200.0584,13431.4,21478.7,869.6,3106.6,4650.8,5623.5,4634.3,13431.4,8755.2,9923.7
failed,0.481,1.697,0.03,-4.438,0.0,-6.209,0.281,21.6335,1.898,0.789,0.0,-4.468,0.201,8.355,-12.08,1.898,8.355,6.336
alive,21.033,33.057,0.741,-10.018,2.335,-10.686,5.352,43.4861,23.039,23.764,0.0,-10.759,-10.018,5.723,-278.175,23.039,8.962,33.057
failed,89.472,55.421,126.284,161.711,8.353,-150.097,50.299,459.0118,247.673,1684.01,694.0,35.427,192.252,135.427,-187.091,247.673,1040.429,85.962
alive,99.256,205.335,5.446,18.345,41.018,5.445,47.093,69.506,297.523,198.377,12.056,12.899,92.188,49.787,127.149,297.523,74.022,279.178
failed,309.431,854.568,18.793,72.731,0.0,29.956,235.066,289.0089,1191.567,797.52,165.71,53.938,336.999,141.443,208.288,1191.567,341.441,1118.836
alive,0.021,0.468,0.073,-0.821,0.0,-0.921,0.017,14.1314,0.841,0.111,0.0,-0.894,0.373,6.792,-63.698,0.841,6.792,1.662
alive,548.838,743.159,162.008,252.59,254.901,-44.006,205.644,1229.197,1168.815,2762.163,1637.08,90.582,425.656,245.728,-130.553,1168.815,1983.33,916.225
failed,16.726,34.472,0.764,-0.274,10.011,-5.707,5.924,14.7616,42.55,21.575,8.925,-1.038,8.078,5.445,-1.135,42.55,14.37,42.824
alive,3899.0,6162.0,525.0,126.0,1275.0,-79.0,878.0,3199.455,6288.0,16020.0,7286.0,-399.0,126.0,2113.0,-2116.0,6288.0,13060.0,6162.0
alive,1.271,1.613,0.073,-5.256,0.444,-5.398,0.285,7.5085,2.211,1.732,0.022,-5.329,0.598,2.082,-106.559,2.211,2.104,7.467
alive,2330.0,2336.0,883.0,1079.0,150.0,135.0,1111.0,3709.56,5109.0,9783.0,2418.0,196.0,2773.0,879.0,2646.0,5109.0,4479.0,4030.0
alive,1.487,0.803,0.17,-2.924,0.018,-2.828,0.069,64.2096,0.742,2.814,0.074,-3.094,-0.061,0.363,-23.356,0.742,0.437,3.666
alive,345.315,1026.549,15.453,71.554,78.251,37.123,208.859,773.5523,1166.979,572.751,0.0,56.101,140.43,59.338,530.456,1166.979,79.564,1095.425
alive,0.584,0.195,0.094,-1.814,0.0,-4.596,0.009,10.2395,0.076,1.489,0.092,-1.908,-0.119,0.515,-8.867,0.076,0.607,1.89
alive,60.558,9.733,5.353,2.496,0.462,-36.027,2.349,18.15,12.229,64.557,0.0,-2.857,2.496,72.828,-25.609,12.229,75.531,9.733
alive,54316.0,17115.0,3158.0,19412.0,6285.0,9672.0,10581.0,178663.7255,65030.0,113644.0,12969.0,16254.0,47915.0,22811.0,75619.0,65030.0,56564.0,45618.0
alive,44.282,84.197,1.367,2.091,16.36,-0.253,21.139,12.5124,101.412,56.456,5.655,0.724,17.215,28.224,9.891,101.412,33.879,99.321
failed,24.77,235.123,6.079,17.914,0.0,8.079,11.31,100.6678,314.101,79.793,0.553,11.835,78.978,25.07,-68.267,314.101,35.311,296.187
alive,586.3,1878.7,194.8,338.2,318.6,-74.6,226.7,741.6125,2421.2,2777.3,1871.8,143.4,542.5,406.8,-1049.6,2421.2,2633.3,2083.0
failed,106.778,222.677,25.504,13.965,7.035,-179.693,27.415,10.6329,259.474,346.302,0.0,-11.539,36.797,217.303,-39.111,259.474,259.97,245.509
failed,13.152,13.984,8.212,26.277,0.933,2.235,5.273,161.3896,46.972,192.126,161.076,18.065,32.988,4.217,0.093,46.972,182.662,20.695
failed,30.402,14.717,53.162,53.652,0.0,34.337,16.002,286.3718,95.881,460.171,46.887,0.49,81.164,19.053,120.881,95.881,130.678,42.229
failed,292.61,516.859,13.556,80.388,122.645,38.596,91.494,353.9479,777.471,457.174,2.906,66.832,260.612,233.158,181.885,777.471,239.998,697.083
alive,165.035,141.474,19.799,18.629,61.44,209.248,45.003,243.1457,252.245,373.462,101.6,-1.17,110.771,95.887,20.51,252.245,271.405,233.616
alive,1445.6,2951.2,241.9,730.5,242.5,306.7,558.7,3222.9018,3681.7,8201.5,1748.3,488.6,730.5,1038.2,1334.8,3681.7,5132.1,2951.2
failed,58.184,73.199,5.661,11.943,30.898,2.79,19.159,109.431,103.254,89.242,20.339,6.282,30.055,18.155,18.583,103.254,38.579,91.311
failed,53.417,145.916,2.101,5.826,6.841,1.457,38.827,115.4441,159.87,145.046,6.0,3.725,13.954,31.937,27.71,159.87,37.937,154.044
failed,0.124,0.17,0.109,0.345,0.0,-0.217,0.039,1.4995,0.729,6.772,0.0,0.236,0.559,0.801,-3.867,0.729,1.272,0.384
failed,2014.0,10229.0,492.0,1186.0,313.0,256.0,534.0,2503.2068,11415.0,10877.0,4103.0,694.0,1186.0,3518.0,-99.0,11415.0,10414.0,10229.0
failed,0.048,4.943,0.046,-4.44,0.0,-4.236,0.018,4.1016,0.503,0.13,0.0,-4.486,-4.44,0.757,-15.473,0.503,0.757,4.943
failed,152.145,226.556,89.023,443.315,16.734,315.109,80.991,1513.9452,701.291,1427.261,446.597,354.292,474.735,84.12,469.672,701.291,536.835,257.976
alive,203.665,649.336,80.792,163.316,20.931,13.226,65.337,1155.463,884.155,2065.071,965.187,82.524,234.819,311.433,-83.733,884.155,1844.212,720.839
failed,100.036,124.612,86.666,-102.083,0.0,-479.162,14.749,175.501,117.404,284.977,16.448,-188.749,-7.208,83.518,-724.07,117.404,132.494,219.487
failed,1.398,17.675,0.38,-11.106,0.296,-12.722,0.107,73.9379,17.78,8.079,0.0,-11.486,0.105,10.318,-288.467,17.78,10.318,28.886
alive,197.818,225.701,33.048,-18.431,0.0,-50.41,82.152,184.134,403.959,312.302,115.223,-51.479,178.258,106.982,-307.222,403.959,232.391,422.39
failed,30.278,235.57,8.165,-2.084,0.0,-7.623,11.225,6.0431,263.998,109.736,52.112,-10.249,28.428,55.175,-35.972,263.998,139.574,266.082
alive,3792.764,2207.435,238.8,694.225,522.682,353.038,657.706,5437.0625,3308.989,6883.502,162.78,455.425,1101.554,1588.061,1856.995,3308.989,2380.385,2614.764
failed,204.287,163.196,11.384,32.618,184.631,-2.558,16.444,79.4628,327.913,388.135,175.0,21.234,164.717,109.469,-70.594,327.913,329.727,295.295
failed,14.657,16.698,0.915,-3.198,8.915,5.051,2.444,1.648,19.072,15.503,1.96,-4.113,2.374,4.947,-25.243,19.072,6.907,22.27
alive,6772.56,21412.523,622.0,4326.7,3695.113,2277.658,249.131,47267.455,30944.938,11499.482,1709.268,3704.7,9532.415,4402.23,3643.579,30944.938,7192.407,26618.238
alive,3.289,3.012,0.218,-3.626,0.123,-3.842,1.96,24.5496,3.609,4.919,0.067,-3.844,0.597,3.671,-15.024,3.609,3.738,7.235
failed,0.383,1.301,0.01,-0.517,0.0,-0.527,0.006,11.0626,3.02,0.75,0.0,-0.527,1.719,0.984,-26.19,3.02,0.984,3.537
alive,0.648,0.533,0.051,-1.049,0.116,-1.819,0.451,1.2488,0.606,1.779,0.108,-1.1,0.073,0.636,-4.921,0.606,0.744,1.655
failed,9.849,10.734,0.308,-3.321,4.476,-6.146,1.272,4.0648,11.622,11.944,0.131,-3.629,0.888,3.053,17.253,11.622,3.484,14.943
alive,71.83,53.199,2.246,-30.492,0.0,-28.658,1.301,153.3312,22.707,77.867,0.699,-32.738,-30.492,17.608,-188.935,22.707,18.307,53.199
failed,61.179,18.986,0.13,-15.269,0.0,-14.863,0.0,290.6184,3.717,61.513,0.0,-15.399,-15.269,2.1,-109.219,3.717,25.883,18.986
failed,12.003,9.773,27.624,18.637,0.0,-5.229,7.695,161.8035,40.648,318.926,32.319,-8.987,30.875,21.996,51.294,40.648,98.43,22.011
alive,2.465,15.104,0.595,0.07,0.046,-1.038,2.021,6.2744,15.174,10.316,2.302,-0.525,0.07,3.286,-15.6,15.174,5.977,15.104
failed,249.47,566.356,18.119,110.349,137.578,43.001,60.374,848.0006,1002.507,884.605,149.68,92.23,436.151,134.957,195.101,1002.507,340.06,892.158
failed,0.273,0.186,0.105,-0.011,0.0,-0.114,0.08,18.8712,0.415,0.707,0.0,-0.116,0.229,0.13,-9.968,0.415,0.13,0.426
alive,8.611,10.024,6.769,29.242,0.906,12.974,7.006,436.3947,48.589,332.03,90.098,22.473,38.565,9.145,40.204,48.589,212.625,19.347
alive,340.831,726.087,72.921,199.044,112.175,40.441,173.161,1161.1892,925.131,2113.664,667.951,126.123,199.044,337.511,295.676,925.131,1319.088,726.087
failed,167.185,662.034,64.579,97.277,0.0,30.681,112.363,502.2992,759.311,690.815,203.162,32.698,97.277,152.375,154.083,759.311,431.812,662.034
alive,408.577,1084.765,97.624,252.736,39.679,9.569,309.826,3014.83,1337.501,2213.837,1201.59,155.112,252.736,240.873,-235.783,1337.501,1457.663,1084.765
alive,868.182,360.32,14.442,95.885,134.639,48.029,94.828,1359.8692,643.508,1134.842,0.0,81.443,283.188,79.311,294.038,643.508,122.686,547.623
failed,27.361,118.118,16.211,29.111,2.026,-14.453,2.99,18.816,190.159,221.538,215.875,12.9,72.041,29.788,-32.455,190.159,251.575,161.048
alive,67.043,23.904,1.602,-28.437,10.871,-30.143,7.133,165.9948,76.194,90.269,0.0,-30.039,52.29,17.453,-113.746,76.194,17.689,104.631
alive,6.094,5.247,1.696,-2.778,2.167,-16.37,3.588,1.3121,8.056,22.695,0.0,-4.474,2.809,2.789,-15.442,8.056,2.789,10.834
failed,90.838,151.255,8.979,14.568,44.135,-4.616,44.448,16.7067,177.193,162.07,31.941,5.589,25.938,50.79,-16.122,177.193,91.264,162.625
failed,114.408,219.093,3.4,19.669,18.398,-141.405,85.197,88.7144,282.368,283.784,210.991,16.269,63.275,63.62,-111.287,282.368,279.331,262.699
alive,28.751,61.353,0.341,0.755,11.395,-0.739,14.667,4.586,81.031,35.418,0.0,0.414,19.678,19.004,7.575,81.031,19.594,80.276
failed,3887.0,10578.0,1707.0,4322.0,752.0,392.0,1918.0,13806.3844,14900.0,50424.0,15831.0,2615.0,4322.0,7637.0,2874.0,14900.0,37729.0,10578.0
failed,133.968,28.842,21.748,-19.582,0.0,-170.522,22.917,110.6204,115.898,240.136,1.945,-41.33,87.056,128.352,-1169.167,115.898,198.503,135.48
alive,522.349,2667.416,103.068,159.041,0.0,59.726,298.565,916.773,2826.457,1365.641,206.989,55.973,159.041,402.59,417.805,2826.457,714.179,2667.416
failed,43.735,69.582,1.364,0.758,20.128,-2.122,22.017,9.3891,92.351,50.705,35.707,-0.606,22.769,9.974,-45.469,92.351,45.681,91.593
alive,1.126,0.411,0.065,0.38,0.189,0.544,0.352,3.4713,3.309,1.522,0.034,0.315,2.898,0.337,-0.503,3.309,0.371,2.929
alive,7.654,10.377,2.621,1.836,0.0,-1.188,1.418,5.4204,28.23,9.284,0.0,-0.785,17.853,34.484,-91.126,28.23,34.509,26.394
alive,20.771,27.623,1.185,4.307,3.045,1.487,13.289,9.8753,42.876,35.006,7.724,3.122,15.253,13.33,-3.122,42.876,21.054,38.569
failed,1069.618,922.733,982.862,1547.826,0.0,366.055,341.177,7341.3086,2696.328,8833.47,2653.834,564.964,1773.595,777.685,2244.905,2696.328,4996.771,1148.502
failed,219.019,476.03,17.06,43.877,85.485,5.56,71.559,70.016,550.523,550.72,255.712,26.817,74.493,50.8,134.956,550.523,350.085,506.646
alive,7.926,4.16,0.922,-4.875,0.0,-6.661,5.145,40.524,22.974,13.877,2.758,-5.797,18.814,4.816,-232.933,22.974,9.31,27.849
alive,4.739,6.299,0.874,0.759,0.006,1.912,2.535,20.7649,15.12,10.986,1.562,-0.115,8.821,1.98,-2.493,15.12,4.687,14.361
failed,87.891,211.854,13.713,2.055,35.175,-12.294,46.741,65.8908,232.074,222.755,65.075,-11.658,20.22,46.344,69.061,232.074,141.133,230.019
alive,4447.0,2395.0,186.0,490.0,722.0,327.0,753.0,16101.03,5139.0,6751.0,0.0,304.0,2744.0,1936.0,-1512.0,5139.0,2636.0,4649.0
failed,93.48,381.149,13.747,-12.826,31.209,-38.383,3.371,202.4211,530.134,151.739,0.0,-26.573,148.985,51.556,-158.016,530.134,84.406,542.96
failed,51.332,161.003,57.275,-75.46,3.604,-151.892,11.448,591.5085,101.173,251.128,191.179,-132.735,-59.83,398.318,-1170.184,101.173,613.906,176.633
alive,290.774,319.297,16.2,38.247,0.0,6.347,84.344,365.2188,480.993,553.224,29.5,22.047,161.696,175.787,63.48,480.993,305.351,442.746
alive,43.796,23.445,3.162,5.816,2.844,4.248,10.701,67.0905,63.444,48.469,0.0,2.654,39.999,16.054,-182.725,63.444,22.684,57.628
alive,159.567,274.224,18.057,53.161,24.672,20.611,105.587,288.1306,455.293,479.513,73.737,35.104,181.069,104.164,134.699,455.293,205.588,402.132
failed,222.896,111.072,418.871,-16.327,9.14,-451.996,30.437,492.1269,271.178,1895.414,546.716,-435.198,160.106,564.528,-603.539,271.178,1118.853,287.505
alive,16.827,23.351,4.959,11.496,0.431,2.203,13.532,66.132,42.504,96.747,23.455,6.537,19.153,15.363,3.871,42.504,53.989,31.008
failed,166.136,2.831,2.398,-25.386,15.718,-52.87,31.339,156.0226,13.574,480.782,225.584,-27.784,10.743,118.799,-484.621,13.574,344.995,38.96
failed,13.014,29.777,1.7,-1.13,4.97,-6.091,3.765,24.662,47.941,30.194,16.227,-2.83,18.164,8.959,-139.91,47.941,35.593,49.071
alive,2706.6,1241.4,99.6,1014.0,473.5,544.9,377.3,12977.384,3742.7,4087.7,2976.2,914.4,2501.3,1244.2,362.0,3742.7,4559.8,2728.7
alive,212.6,124.9,37.4,193.7,0.0,2.5,165.0,523.0201,426.1,1148.1,923.3,156.3,301.2,109.7,-303.5,426.1,1149.3,232.4
alive,61.965,65.858,2.554,8.324,31.03,3.807,17.797,65.56,105.878,74.194,0.0,5.77,40.02,8.817,44.341,105.878,13.094,97.554
failed,4.256,7.214,1.767,-17.421,1.995,-20.282,0.426,9.1331,3.128,9.977,0.0,-19.188,-4.086,2.412,-582.196,3.128,3.589,20.549
alive,557.487,1284.19,72.428,299.201,0.0,155.441,365.756,2304.8404,1760.055,1715.976,0.0,226.773,475.865,385.246,540.498,1760.055,731.581,1460.854
failed,0.239,24.019,0.18,-23.266,0.067,-40.122,0.1,0.2912,0.753,0.552,0.184,-23.446,-23.266,35.078,-116.5,0.753,35.262,24.019
failed,130.279,40.646,129.159,197.23,0.0,-2.186,95.173,181.391,259.169,1487.979,658.0,68.071,218.523,179.668,-2.186,259.169,863.855,61.939
alive,20.221,26.692,7.063,-20.352,1.06,-25.678,1.226,60.9022,6.34,39.716,8.095,-27.415,-20.352,10.8,-112.337,6.34,19.512,26.692
failed,297.31,727.273,12.718,32.416,0.0,-67.261,182.359,280.1125,990.326,625.07,41.38,19.698,263.053,204.492,37.331,990.326,268.063,957.91
failed,33.695,94.555,2.706,5.857,19.267,-7.96,13.574,8.0305,113.957,81.606,22.913,3.151,19.402,55.548,-132.489,113.957,90.344,108.1
failed,1.391,0.0,0.396,0.179,0.0,-3.075,1.201,0.1425,5.242,2.559,4.872,-0.217,5.242,20.983,-57.566,5.242,27.545,5.063
alive,0.255,0.111,0.239,-1.57,0.0,-5.756,0.0,4.5078,0.066,0.554,2.25,-1.809,-0.045,8.633,-59.457,0.066,10.883,1.636
failed,237.556,459.593,24.914,234.219,61.736,112.322,142.647,1702.7221,945.045,725.666,341.635,209.305,485.452,131.767,144.6,945.045,512.318,710.826
failed,20.659,6.439,0.789,-2.516,0.192,-3.848,3.645,150.4777,3.923,99.81,23.683,-3.305,-2.516,25.671,-16.064,3.923,49.54,6.439
failed,184.412,556.027,91.131,292.603,19.271,70.832,116.916,1159.6989,1128.648,3329.809,1510.459,201.472,572.621,200.323,775.125,1128.648,2332.91,836.045
alive,7.776,17.823,0.43,-0.342,3.536,-0.69,3.584,7.6762,22.672,9.274,0.056,-0.772,4.849,5.63,0.908,22.672,5.728,23.014
failed,3.05,0.322,2.433,-7.015,0.568,-9.727,0.286,59.3021,0.927,7.158,0.0,-9.448,0.605,2.184,-198.229,0.927,3.786,7.942
failed,1.629,0.118,0.0,-0.097,0.0,-0.097,0.002,2.9976,0.021,1.629,0.0,-0.097,-0.097,0.039,-86.463,0.021,0.039,0.118
alive,13.93,20.117,0.205,0.695,9.605,0.278,3.851,0.4088,25.802,14.255,0.0,0.49,5.685,10.92,-12.756,25.802,10.92,25.107
failed,76.136,370.418,8.438,-14.875,1.109,-28.212,61.658,131.2,471.152,181.723,39.495,-23.313,100.734,118.078,-44.428,471.152,157.585,486.027
alive,3.06,5.666,0.346,-1.192,2.358,-1.988,0.386,1.8441,5.702,6.76,0.246,-1.538,0.036,0.591,-5.875,5.702,0.837,6.894
failed,248.367,594.052,109.33,283.169,14.127,57.997,190.717,2142.871,1080.053,2104.16,594.714,173.839,486.001,307.703,701.489,1080.053,1105.995,796.884
alive,210.736,174.315,15.333,67.772,61.717,23.18,104.585,406.357,305.016,394.73,196.946,52.439,130.701,78.386,-1.285,305.016,281.165,237.244
failed,7.768,3.044,4.472,3.847,0.0,-0.31,4.527,38.3918,8.516,29.901,2.927,-0.625,5.472,8.314,-30.788,8.516,11.796,4.669
failed,298.156,1045.011,10.738,76.169,108.65,37.805,49.146,1035.7329,1272.59,566.654,201.727,65.431,227.579,186.091,-121.645,1272.59,419.349,1196.421
failed,487.29,188.235,39.657,-254.479,76.3,-393.61,38.884,816.8554,325.53,721.119,577.483,-294.136,137.295,103.942,-1954.203,325.53,686.506,580.009
failed,20.145,22.307,0.871,-22.056,0.0,-22.608,0.393,13.7573,0.251,25.519,8.472,-22.927,-22.056,2.832,-334.67,0.251,16.763,22.307
failed,0.62,1.529,0.017,0.172,0.0,-4.551,0.0,0.7795,4.543,0.649,0.0,0.155,3.014,7.444,-41.504,4.543,7.444,4.371
alive,2.178,0.121,0.166,-0.284,0.391,-0.289,0.003,3.0274,0.671,8.3,0.0,-0.45,0.55,2.531,0.698,0.671,2.531,0.955
alive,9.503,14.253,4.436,-6.586,4.367,-14.142,0.128,97.0013,13.01,33.313,2.633,-11.022,-1.243,4.616,-94.41,13.01,10.619,19.596
failed,95.576,205.443,21.168,99.429,0.0,30.369,54.834,1039.7509,320.132,1616.397,441.145,78.261,114.689,60.035,-115.809,320.132,740.064,220.703
alive,67.935,33.943,28.951,1.694,0.0,-80.868,22.281,353.8997,180.416,103.632,0.0,-27.257,146.473,91.114,-377.58,180.416,172.989,178.722
alive,35.585,91.474,9.065,6.426,1.687,-56.026,18.685,42.1625,120.008,158.282,96.537,-2.639,28.534,39.783,-218.754,120.008,152.646,113.582
failed,166.729,213.985,5.366,33.903,34.473,21.413,0.0,422.2462,324.741,202.677,0.0,28.537,110.756,43.977,139.88,324.741,56.631,290.838
failed,7.668,24.237,0.917,1.464,6.804,0.18,0.635,3.6575,41.507,12.151,0.0,0.547,17.27,8.268,-4.286,41.507,8.423,40.043
alive,4.978,17.156,0.086,-1.43,0.248,-1.567,3.532,0.7235,20.943,5.264,0.0,-1.516,3.787,4.388,-2.62,20.943,4.388,22.373
failed,70.656,300.608,14.315,1.333,49.503,-10.48,1.504,63.1684,399.25,155.208,4.368,-12.982,98.642,54.32,-6.494,399.25,85.159,397.917
failed,1249.6,911.5,124.0,61.1,160.8,-68.3,245.8,3097.188,1163.6,3566.5,384.4,-62.9,252.1,509.1,2112.1,1163.6,1359.7,1102.5
failed,281.453,161.934,8.123,9.881,0.0,-13.622,53.521,1767.7748,180.019,918.156,285.227,1.758,18.085,27.57,-25.214,180.019,323.714,170.138
